QUESTIONARIO;PESQUISADOR;INICIO COLETA;FIM COLETA;P0001-REGIÃO;P0006-SEXO;P0007-FAIXA ETÁRIA;P0008-ESCOLARIDADE;P0009-DIA 28 TEREMOS ELEIÇÃO DE SEGUNDO TURNO PARA PRESIDENTE DO BRASIL E GOVERNADOR DE CAFUÇU. GOSTARIA DE SABER QUAL É O SEU INTERESSE PELAS ELEIÇÕES DESTE ANO? (ESTIMULADA RU);P0010-EM RELAÇÃO AO SEU VOTO PARA GOVERNADOR DE CAFUÇU, O (A) SR. (A) DIRIA QUE: (RU ESTIMULADA);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(A);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(B);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(C);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(D);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(E);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(F);P0012-(APENAS PARA QUEM ASSISTE/OUVE) QUAL DESSES CANDIDATOS A GOVERNADOR APRESENTOU AS MELHORES PROPOSTAS PARA CAFUÇU? (RU ESTIMULADA);P0013-SE AS ELEIÇÕES PARA GOVERNADOR DE CAFUÇU FOSSEM HOJE, EM QUAL DESTES CANDIDATOS O (A) SR. (A) VOTARIA? (ESTIMULADA RU);P0014-SOBRE A GESTÃO DO GOVERNADOR PESCOÇO GROSSO, COMO VOCÊ AVALIA A SUA ADMINISTRAÇÃO? (RU ESTIMULADA);P0015-E SOBRE A FORMA DE ADMINISTRAR DO GOVERNADOR PESCOÇO GROSSO, VOCÊ APROVA OU DESAPROVA? (RU ESTIMULADA);P0016-TAMBÉM AVALIANDO A GESTÃO DE PESCOÇO GROSSO, QUAL DAS SEGUINTES FRASES MELHOR REPRESENTA A SUA OPINIÃO SOBRE A GESTÃO DO GOVERNADOR? (RU ESTIMULADA);P0017-DIA 28 TEREMOS ELEIÇÃO PARA PRESIDENTE DO BRASIL, EM QUAL DESTES CANDIDATOS VOCÊ VOTARIA? (ESTIMULADA RU);P0018-(APENAS PARA BOLSONARO) SE JAIR BOLSONARO APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI? (RU ESTIMULADA);P0019-EM QUAL DESTES CANDIDATOS A GOVERNADOR VOCÊ VOTOU NO PRIMEIRO TURNO? (RU ESTIMULADA);P0020-(APENAS PARA FILHO DE PAPAI) ESTÃO CONVICTOS DE REPETIR O VOTO EM FILHO DE PAPAI NO SEGUNDO TURNO? (RU ESTIMULADA);P0021-(APENAS PARA PESCOÇO GROSSO) ESTÃO CONVICTOS DE REPETIR O VOTO EM PESCOÇO GROSSO NO SEGUNDO TURNO? (RU ESTIMULADA);P0022-SE O SENADOR ELEITO FICHA LIMPA APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI NESTE SEGUNDO TURNO? (RU ESTIMULADA)
32;T355950081794684;2018-10-15 08:38:37.0;2018-10-15 08:54:16.0;0003-LESTE;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0002-BOM;0001-APROVO;0007-NÃO SABE;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0004-NENHUM DELES;null-null;null-null;0002-TALVEZ VOTARIA
33;T355950081794684;2018-10-15 08:59:19.0;2018-10-15 09:04:02.0;0003-LESTE;0002-MASCULINO;0006-60 A 69 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
34;T355950081794684;2018-10-15 09:04:24.0;2018-10-15 09:09:22.0;0003-LESTE;0002-MASCULINO;0006-60 A 69 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0005-WHATSAPP;;;;0003-NENHUM DELES;0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
35;T355950081794684;2018-10-15 09:09:45.0;2018-10-15 09:27:50.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0003-NÃO SABE;0002-TELEVISÃO;0003-FACEBOOK;;;;;0004-NÃO SABE;0003-NENHUM DELES;0003-REGULAR;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
36;T355950081794684;2018-10-15 09:28:05.0;2018-10-15 09:53:29.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0004-NÃO SABE;null-null;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
37;T355950081794684;2018-10-15 09:54:19.0;2018-10-15 10:03:04.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
38;T355950081794684;2018-10-15 10:03:15.0;2018-10-15 10:09:30.0;0003-LESTE;0001-FEMININO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0005-WHATSAPP;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
39;T355950081794684;2018-10-15 10:10:36.0;2018-10-15 10:14:03.0;0003-LESTE;0002-MASCULINO;0001-16 A 17 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0004-RUIM;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
40;T355950081794684;2018-10-15 10:15:50.0;2018-10-15 10:30:44.0;0003-LESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;0005-WHATSAPP;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
41;T355950081794684;2018-10-15 10:31:54.0;2018-10-15 10:34:57.0;0003-LESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;0003-FACEBOOK;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0002-DESAPROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
42;T355950081794684;2018-10-15 10:35:08.0;2018-10-15 10:42:37.0;0003-LESTE;0001-FEMININO;0006-60 A 69 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0006-YOUTUBE;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
43;T355950081794684;2018-10-15 10:42:47.0;2018-10-15 10:48:44.0;0003-LESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0003-NÃO SABE;0002-TELEVISÃO;0003-FACEBOOK;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
44;T355950081794684;2018-10-15 10:52:56.0;2018-10-15 11:01:07.0;0003-LESTE;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
45;T355950081794684;2018-10-15 11:01:31.0;2018-10-15 11:08:45.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
46;T352925097985198;2018-10-15 11:24:32.0;2018-10-15 11:26:33.0;0003-LESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0003-TALVEZ;null-null;0005-NÃO RESPONDEU
47;T352925097985198;2018-10-15 11:29:19.0;2018-10-15 11:32:19.0;0003-LESTE;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0002-PODERÁ MUDAR O VOTO;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0004-NÃO SABE;0003-REGULAR;0001-APROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0004-NÃO SABE;null-null;0003-OUTRO;null-null;null-null;0004-NÃO SABE
48;T351829091268638;2018-10-15 11:27:36.0;2018-10-15 11:29:50.0;0001-SERTÃO;0001-FEMININO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
49;T357208071695694;2018-10-15 07:48:39.0;2018-10-15 08:19:39.0;0002-AGRESTE;0002-MASCULINO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0004-RUIM;0002-DESAPROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
50;T357208071695694;2018-10-15 08:20:34.0;2018-10-15 08:40:15.0;0002-AGRESTE;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
51;T357208071695694;2018-10-15 08:40:27.0;2018-10-15 08:49:46.0;0002-AGRESTE;0002-MASCULINO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;0002-PESCOÇO GROSSO (PSD);0003-NENHUM DELES;0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
52;T357208071695694;2018-10-15 08:50:01.0;2018-10-15 08:59:16.0;0002-AGRESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0003-NÃO SABE;0002-TELEVISÃO;;;;;;0004-NÃO SABE;0001-FILHO DE PAPAI (PSB);0006-NÃO SABE;0003-NÃO SABE;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
53;T357208071695694;2018-10-15 08:59:29.0;2018-10-15 09:12:00.0;0002-AGRESTE;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
54;T357208071695694;2018-10-15 09:12:08.0;2018-10-15 09:26:04.0;0002-AGRESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
55;T357208071695694;2018-10-15 09:26:13.0;2018-10-15 09:45:41.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0002-PODERÁ MUDAR O VOTO;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0001-FILHO DE PAPAI (PSB);0006-NÃO SABE;0002-DESAPROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;0001-SIM;null-null;0001-VOTARIA COM CERTEZA
56;T357208071695694;2018-10-15 09:45:59.0;2018-10-15 09:51:27.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
57;T357208071695694;2018-10-15 09:51:41.0;2018-10-15 09:55:30.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0004-NÃO SABE;null-null;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
58;T357208071695694;2018-10-15 09:55:40.0;2018-10-15 10:08:10.0;0002-AGRESTE;0001-FEMININO;0004-35 A 44 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0007-NÃO SABE;0004-NÃO SABE;null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
59;T357208071695694;2018-10-15 10:15:57.0;2018-10-15 10:18:49.0;0002-AGRESTE;0001-FEMININO;0004-35 A 44 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0003-NENHUM DELES;0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
60;T357208071695694;2018-10-15 10:19:02.0;2018-10-15 10:33:06.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0001-ANALFABETO/LÊ E ESCREVE;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
61;T357208071695694;2018-10-15 10:33:27.0;2018-10-15 10:44:35.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
62;T357208071695694;2018-10-15 10:44:41.0;2018-10-15 10:56:27.0;0002-AGRESTE;0001-FEMININO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;;;;;;0004-NÃO SABE;0003-NENHUM DELES;0006-NÃO SABE;0003-NÃO SABE;0007-NÃO SABE;0003-NENHUM DELES;null-null;0001-FILHO DE PAPAI (PSB);0002-NÃO;null-null;0004-NÃO SABE
63;T357208071695694;2018-10-15 10:56:42.0;2018-10-15 11:09:30.0;0002-AGRESTE;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0004-NÃO SABE;0002-PESCOÇO GROSSO (PSD);0006-NÃO SABE;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
64;T357208071695694;2018-10-15 11:09:44.0;2018-10-15 11:20:06.0;0002-AGRESTE;0001-FEMININO;0006-60 A 69 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0004-NÃO SABE;0001-FILHO DE PAPAI (PSB);0002-BOM;0003-NÃO SABE;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0004-NÃO SABE;null-null;0004-NENHUM DELES;null-null;null-null;0001-VOTARIA COM CERTEZA
65;T357208071695694;2018-10-15 11:20:23.0;2018-10-15 11:37:30.0;0002-AGRESTE;0001-FEMININO;0004-35 A 44 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;0003-NENHUM DELES;0003-NENHUM DELES;0003-REGULAR;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
66;T357110073297430;2018-10-15 11:19:33.0;2018-10-15 11:23:04.0;0003-LESTE;0001-FEMININO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0004-NÃO RESPONDEU;0002-TELEVISÃO;;;;;;0003-NENHUM DELES;0003-NENHUM DELES;0003-REGULAR;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
67;T357110073297430;2018-10-15 11:30:10.0;2018-10-15 11:35:03.0;0003-LESTE;0001-FEMININO;0005-45 A 59 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;0003-NENHUM DELES;0003-NENHUM DELES;0007-NÃO RESPONDEU;0004-NÃO RESPONDEU;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
